p,d,q,aic,bic
1,1,6,15644.272069319959,15684.090320053005
2,1,6,15646.615687599302,15691.411219673979
5,1,6,15647.836882121306,15707.564258220875
3,1,6,15648.656018275095,15698.428831691403
4,1,6,15649.441725753248,15704.191820511185
6,1,6,15650.401176952366,15715.105834393566
0,1,6,15650.461279389516,15685.30224878093
6,1,1,15655.21710412274,15695.042814063785
2,1,5,15656.816495661731,15696.642205602777
6,1,2,15656.972227650116,15701.776151333792
1,1,5,15660.117206572995,15694.96470277141
3,1,5,15660.85582403883,15705.659747722506
6,1,5,15661.693933567465,15721.432498479033
5,1,5,15662.045265602865,15716.805616771802
6,1,4,15662.441993961187,15717.202345130125
4,1,5,15662.670461977206,15712.452599403514
3,0,6,15665.717229095015,15715.499366521322
5,0,6,15667.315407560382,15727.05397247195
4,0,6,15667.488421015856,15722.248772184794
6,0,6,15667.51342827868,15732.23020693288
1,0,6,15667.798858068534,15707.62456800958
2,0,6,15668.72158585832,15713.525509541996
5,1,1,15669.59582777941,15704.449844704892
3,1,4,15669.698912277392,15709.532074477942
1,1,4,15672.191403938425,15702.066275588837
4,1,4,15672.891127163466,15717.703434639085
5,1,4,15672.899678666394,15722.691131417081
5,1,2,15673.993701837977,15713.826864038527
2,1,4,15675.364401115652,15710.218418041133
6,0,1,15675.378308057127,15715.211470257676
0,1,5,15675.663185556032,15705.532468011816
3,0,5,15675.962634194184,15720.774941669803
6,0,2,15676.417772681398,15721.230080157016
3,2,6,15676.834382035358,15726.597862739836
4,0,5,15678.638376251434,15728.429829002122
4,2,6,15679.572424382977,15734.312253157903
6,0,5,15679.868266905982,15739.618010206808
5,0,5,15680.696996686263,15735.46759471202
5,1,3,15680.712465744211,15725.52477321983
4,1,3,15683.378985239357,15723.219592763851
3,1,3,15685.311437521079,15720.171969105011
1,1,3,15686.769145956066,15711.669525658876
0,2,6,15687.163070808012,15721.997507301146
4,1,2,15687.411653327219,15722.272184911151
6,2,6,15687.491139343529,15752.18366425935
2,1,3,15687.497597016587,15717.378052659957
2,0,4,15687.787744234105,15722.648275818037
6,2,5,15687.83223014282,15747.559606242388
4,1,1,15688.011959447249,15717.892415090619
5,2,6,15688.088904671738,15747.805081517112
5,0,2,15688.316469363013,15728.157076887508
5,0,3,15688.754745649225,15733.57542911428
1,2,6,15689.224060398921,15729.034844962503
5,0,1,15689.25173276519,15724.112264349122
4,0,4,15690.084182382361,15734.904865847417
3,0,4,15690.097088251832,15729.937695776327
5,0,4,15691.067795418807,15740.868554824425
1,2,5,15691.250452273413,15726.091421664827
1,0,5,15691.270141112658,15726.12415803814
2,2,6,15691.384372026096,15736.171504660126
4,2,5,15691.430700752553,15741.203514168861
6,2,4,15692.742238627226,15747.492333385164
6,2,3,15693.260967484872,15743.03378090118
0,1,4,15694.627220083812,15719.522946459156
5,2,5,15694.911077959328,15749.661172717266
2,2,5,15695.73701742028,15735.555268153326
3,2,5,15697.002410525154,15741.797942599831
3,1,2,15698.222110327333,15728.108144771664
2,0,5,15698.842466909602,15738.675629110152
6,2,2,15701.314222602778,15746.109754677454
4,2,4,15701.72189561829,15746.525819301965
2,1,2,15701.980353766481,15726.88538247009
2,0,3,15702.119353146794,15732.005387591125
3,0,3,15702.323255809682,15737.190295994735
3,1,1,15702.539692764121,15727.44472146773
3,2,4,15702.885946845217,15742.711656786263
4,0,3,15703.679475144976,15743.52752107075
4,0,1,15705.291031892735,15735.177066337066
2,2,4,15705.379774903466,15740.227271101881
0,2,5,15708.371622928946,15738.235310978731
1,2,4,15709.396635001554,15739.265917457338
4,0,2,15711.000118277403,15745.867158462455
5,2,2,15712.138797502086,15751.964507443132
5,2,3,15712.993800462122,15757.797724145797
1,1,2,15713.188634260854,15733.11265722374
1,0,4,15713.43417726205,15743.31463290542
2,1,1,15718.422640582494,15738.35037929112
3,0,1,15718.736655536566,15743.646328922348
3,2,3,15720.713484600648,15755.56750152613
5,2,4,15722.584124183119,15772.366261609426
4,2,3,15722.72366078215,15762.5568229827
3,0,2,15725.384881426995,15755.276489489934
4,2,2,15730.703237617281,15765.557254542762
6,2,1,15733.88201559386,15773.700266326905
6,0,0,15736.242193460937,15771.096210386419
6,0,4,15737.009359230167,15791.779957255923
6,1,0,15739.64047122597,15774.487967424386
3,2,2,15741.264635613205,15771.145091256574
0,1,3,15741.752669627173,15761.672973389419
6,1,3,15744.254385119286,15794.036522545593
0,2,4,15748.112498282828,15773.003566995982
5,0,0,15748.389108144132,15778.269563787502
5,2,1,15748.943844011948,15783.791340210364
1,1,1,15752.521719638227,15767.467523669697
2,2,3,15754.557603805642,15784.432475456055
5,1,0,15754.766484257278,15784.64135590769
1,0,3,15756.109545429745,15781.014574133353
6,0,3,15758.105254375194,15807.896707125881
4,2,1,15762.98220193301,15792.857073583422
4,1,0,15768.572151613136,15793.472531315945
4,0,0,15777.554968003631,15802.459996707239
1,2,2,15777.802068388399,15797.722372150645
2,0,2,15793.879695703421,15818.789369089203
1,0,2,15794.039811882933,15813.967550591558
3,0,0,15794.9177826403,15814.845521348925
3,2,1,15800.65186348254,15825.55224318535
0,2,3,15801.600198428612,15821.516779528887
0,1,2,15802.602422990616,15817.545440212782
1,2,3,15803.129957868916,15828.02568424426
3,1,0,15806.040666898312,15825.964689861199
1,0,1,15806.162385579628,15821.110973834035
2,0,0,15807.236671418066,15822.185259672473
2,0,1,15808.039474804085,15827.970925809961
0,1,1,15817.365099810984,15827.328969165297
2,2,1,15824.275544169435,15844.199567132322
1,2,1,15826.092650343422,15841.035667565588
2,1,0,15830.014836943932,15844.960640975401
2,2,2,15832.388949444992,15857.289329147801
0,2,2,15843.946853723664,15858.88708154535
1,1,0,15845.988601893732,15855.95432739667
0,0,6,15894.565164014493,15929.412660212909
1,0,0,15915.50131993043,15925.468899860947
0,0,5,15935.260944063037,15965.13581571345
6,2,0,15955.667619331014,15990.508588722429
0,1,0,15980.821550390214,15985.804413141683
0,0,4,16006.306564408522,16031.20694411133
5,2,0,16011.575356251578,16041.444638707362
0,2,1,16014.034925058504,16023.996936539948
4,2,0,16076.0125050993,16100.908231474643
0,0,3,16086.634041892223,16106.55806485511
3,2,0,16183.239712124807,16203.160015887053
2,2,0,16262.851468875466,16277.794486097631
0,0,2,16268.835644004132,16283.781448035601
1,2,0,16435.58967887154,16445.553548225853
0,0,1,16641.250810285645,16651.216535788582
0,2,0,17031.248857820778,17036.230792497932
0,0,0,17290.591503504605,17295.575293469865
