Model,RMSE,MAE,MAPE,sMAPE,Family
"SARIMA(1,1,6)(1,1,1)[24]",137.4617317580361,104.68453558195328,,,SARIMA/X (single origin)
SARIMAX + weather/hour exog,224.36081174928512,184.38864914878843,,,SARIMA/X (single origin)
"ARIMA(1,1,6) best-AIC, no seasonality",339.0893329824567,275.92638341835726,,,SARIMA/X (single origin)
XGBoost (full feature set),404.5730507611919,245.3862863268171,39.48676898189839,33.10381232566089,ML
Mean,412.48905925009177,312.1052696664671,54.223326769833,47.06287877857354,Benchmark
Seasonal Naive 168h,419.75358360779046,266.7857142857143,37.5918819842875,32.63167032600199,Benchmark
Holt-Winters Exponential Smoothing (documented substitute for Chronos),434.5321713362575,338.1986701584694,61.74694139964189,54.432126093189574,Foundation model
Seasonal Naive 24h,471.4989398396236,303.72023809523813,43.32704561740347,37.37665990168653,Benchmark
Naive,588.8926476117014,507.797619047619,107.35133914165638,64.78982684784559,Benchmark
Drift,590.016496311156,509.17215236870004,107.72353769239145,64.88853225833263,Benchmark
